Model Name,Model Description,Security Symbol,Target Percent,Minimum Percent,Maximum Percent
Hare,,GOOGL,6.7,global,global
Hare,,GOOG,3.3,global,global
Hare,,ABC,4.7,global,global
Hare,,ANTM,2.0,global,global
Hare,,BIDU,2.5,global,global
Hare,,BLK,2.0,global,global
Hare,,BKNG,7.2,global,global
Hare,,KMX,2.5,global,global
Hare,,CERN,2.3,global,global
Hare,,CMP,2.5,global,global
Hare,,EBAY,2.6,global,global
Hare,,ENB,4.0,global,global
Hare,,ESRX,2.4,global,global
Hare,,FB,6.2,global,global
Hare,,IQV,5.2,global,global
Hare,,LOW,5.0,global,global
Hare,,MA,11.8,global,global
Hare,,ORLY,4.8,global,global
Hare,,SBUX,1.9,global,global
Hare,,COO,2.8,global,global
Hare,,UNH,3.2,global,global
Hare,,VTR,3.3,global,global
Hare,,V,5.0,global,global
Hare,,$CASH,6.1,global,global
